RBR,Naziv,Autor,Autor komentara,Autor dodataka,Urednik,Prevoditelj,Ilustrator,Naslov,Godina izdavanja,Tiskar,Mjesto tiskanja,Ustanova,Mjesto,,
96,"VERGILIUS MARO, PUBLIUS    ","VERGILIUS MARO, PUBLIUS",,,,,,Opera,1488,"Paltašiæ, Andrija",Venecija,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
95,"VERGERIUS, PETRUS PAULUS    ","VERGERIUS, PETRUS PAULUS    ",,,,,,De ingenuis moribus ac liberalibus studiis,1497,"Tacuinus, Giovanni",Venecija,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
94,"VERGERIUS, PETRUS PAULUS    ","VERGERIUS, PETRUS PAULUS","Bonardus, Johannes",,"Calphurnius, Johannes","Bruni, Leonardo
Guarinus, Veronensis",,De ingenuis moribus ac liberalibus studiis,1475,"Siliprandi, Domenico",Padova,Sveučilišna knjižnica u Puli,Pula,,
93,"VARRO, MARCUS TERENTIUS    ","VARRO, MARCUS TERENTIUS",,,"Laetus Pomponius, Julius
Rolandello, Francesco",,,De lingua Latina lib. III.,1483,"Dobriæeviæ, Dobriæ
Delsera, Miniatus",Brescia,"Nacionalna i sveučilišna knjižnica u Zagrebu
Zbirka Baltazara Bogišića","Zagreb
Cavtat",,
92,"VALTURIUS, ROBERTUS    ","VALTURIUS, ROBERTUS    ",,,,"Ramusio, Paolo",,De re militari,1483,"Dobriæeviæ, Dobriæ",Verona,Metropolitanska knjižnica,Zagreb,,
91,"VALTURIUS, ROBERTUS    ","VALTURIUS, ROBERTUS",,,,"Ramusio, Paolo",,De re militari,1483,"Dobriæeviæ, Dobriæ",Verona,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
90,"TORTELLIUS, JOHANNES    ","TORTELLIUS, JOHANNES",,,,,,De orthographia dictionum e Graecis tractarum.,1488,"Paltašiæ, Andrija",Venecija,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
89,"TIBULLUS, ALBIUS    ","TIBULLUS, ALBIUS    ",,,,,,Elegiae,1487,"Paltašiæ, Andrija",Venecija,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
88,"TIBULLUS, ALBIUS    ",,"Cyllenius, Bernardinus","Parthenius, Antonius",,,,Elegiae,1487,"Paltašiæ, Andrija",Venecija,Zbirka Baltazara Bogišića,Cavtat,,
87,"TIBULLUS, ALBIUS    ","TIBULLUS, ALBIUS","Cyllenius, Bernardinus",,,,,Elegiae sive carmina,1486,"Dobriæeviæ, Dobriæ",Brescia,Zbirka Baltazara Bogišića,Cavtat,,
86,"TERENTIUS AFER, PUBLIUS    ","TERENTIUS AFER, PUBLIUS","Donatus, Aelius",,"Britanicus, Ioannes
Britannico, Giovanni",,,Comoediae,1487,"Paltašiæ, Andrija",Venecija,"Knjižnica Hrvatske akademije znanosti i umjetnosti
",Zagreb,,
85,"ŠIŽGORIÆ, JURAJ    ","ŠIŽGORIÆ, JURAJ",,,,,,Elegiarum et carminum libri tres.,1477,"Adamus, Rotwilensis",Venecija,Knjižnica Hrvatske akademije znanosti i umjetnosti,Zagreb,,
84,ŠIMUN HVARANIN,ŠIMUN HVARANIN,,,,,,De baptismo Sancti Spiritus et eius virtute,1477,"Gallo, Guglielmo",Venecija,"Nacionalna i sveučilišna knjižnica u Zagrebu
Franjevački samostan Navještenja Marijina","Zagreb
Košljun",,
83,"SUETONIUS TRANQUILLUS, GAIUS    ","SUETONIUS TRANQUILLUS, GAIUS","Pasqualis, Simon",,,,,Vitae XII caesarum,1488,"Benedictis, Franciscus (Plato) de",Bologna,Franjevački samostan Male braće,Dubrovnik,,
